,Unnamed: 0,label,text,label_prediction
0,0,암 보험금 청구 및 지급 절차,암 진단 보험금을 청구하려면 어떤 서류를 준비해야 하나요?,암 보험금 청구 및
1,1,암 보험금 청구 및 지급 절차,보험금 신청부터 지급까지 전체적인 절차가 궁금합니다.,암 보험금 청구 및
2,2,암 보험금 청구 및 지급 절차,보험금 청구 서류를 제출하면 보통 며칠 안에 지급되나요?,암 보험금 청구 및 지급 절차
3,3,암 보험금 청구 및 지급 절차,보험금 지급 심사 시 현장 조사가 꼭 필요한가요? 어떤 경우에 진행되나요?,암 보험금 청구 및 지급 절차
4,4,암 보험금 청구 및 지급 절차,심사가 길어질 경우 치료비를 먼저 받을 수 있는 가지급 제도가 있나요?,암 보험금 청구
5,5,암 보험금 청구 및 지급 절차,제가 직접 보험금을 청구하기 어려운 상황일 때 가족이 대신 청구할 수 있는 방법이 있나요?,암 보험금 청구 및 지급 절차
6,6,암 보험금 청구 및 지급 절차,"해외에서 암 진단을 받은 경우, 필요한 서류나 청구 절차에 차이가 있나요?",암 보험금 청구 및 지급 절차
7,7,암 보험금 청구 및 지급 절차,보험금 청구는 꼭 지점을 방문해야만 가능한가요? 인터넷이나 앱으로도 신청할 수 있나요?,암 보험금 청구 및 지급 절차
8,8,암 보험금 청구 및 지급 절차,어떤 경우에 암보험금 지급이 거절될 수 있는지 알려주세요.,암 보험 보장
9,9,암 보험금 청구 및 지급 절차,"암 진단 후 치료를 받다가 사망한 경우, 보험금은 누구에게 어떻게 지급되나요?",암 보험금 청구 및 지급 절
10,10,보험료 납입 면제 및 계약 유지,암 진단을 받으면 보험료 납입이 면제되는 조건은 무엇인가요?,보험료 납입 면제 및 계약 유지
11,11,보험료 납입 면제 및 계약 유지,초기암이나 갑상선암 같은 경우에도 보험료 납입이 면제되나요?,보험료 납입
12,12,보험료 납입 면제 및 계약 유지,암 진단 외에 다른 질병이나 상해로도 납입면제 혜택을 받을 수 있나요?,보험료 납입 면제 및 계약 유지
13,13,보험료 납입 면제 및 계약 유지,납입면제 이후에도 기존과 동일한 보장 내용이 계속 유지되는지 궁금합니다.,보험료 납입 면제 및 계약
14,14,보험료 납입 면제 및 계약 유지,일시적으로 보험료 납입이 어려울 때 자동대출납입 기능을 이용할 수 있나요?,보험료 납입 면제 및 계약 유지
15,15,보험료 납입 면제 및 계약 유지,"보험료를 연체하면 바로 계약이 해지되나요, 아니면 유예 기간이 있나요?",보험료 납입 면제 및 계약 유지
16,16,보험료 납입 면제 및 계약 유지,"보험료 납입이 부담스러울 경우, 보장금액을 줄여서 계약을 유지하는 감액완납 제도가 있나요?",보험료 납입 면제 및 계약 유지
17,17,보험료 납입 면제 및 계약 유지,"보험료 미납으로 계약이 실효된 경우, 다시 부활시킬 수 있는 방법과 조건은 어떻게 되나요?",보험료 납입 면제 및 계약
18,18,보험료 납입 면제 및 계약 유지,"보험료 납입면제 사유가 발생했을 때, 어떤 서류를 제출해야 계약이 유지되나요?",보험료 납입 면
19,19,보험료 납입 면제 및 계약 유지,"납입면제가 되면 보험료를 더 이상 내지 않는데, 만기 환급금이나 해지 환급금에는 영향이 없나요?",보험료 납입 면제 및 계약 유지
20,20,암 보험 해지 및 환급,암보험을 중도에 해지하면 해약환급금이 얼마나 나오나요?,암 보험 해지 및 환급
21,21,암 보험 해지 및 환급,"제가 가입한 상품이 해약환급금 미지급형인데, 해지하면 환급금이 전혀 없나요?",암 보험 해지 및 환급
22,22,암 보험 해지 및 환급,"암보험 해지 신청은 어떻게 하고, 필요한 서류는 무엇인가요?",암 보험 해지 및 환급
23,23,암 보험 해지 및 환급,보험료 납입 기간이 끝난 후에 해지해도 환급금을 받을 수 있나요?,암 보험 해지 및 환급
24,24,암 보험 해지 및 환급,계약 해지를 신청하면 환급금은 언제쯤 입금되는지 궁금합니다.,암 보험 해지 및 환급
25,25,암 보험 해지 및 환급,"보험료를 몇 달 못 냈는데, 계약이 자동으로 해지될 수 있나요?",보험료 납입 면제 및 계약 유지
